Lesson,N,HTML,TITLE
6,1,"<iframe src=""https://learningapps.org/watch?v=pob3io1an19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",
6,2,"<iframe src=""https://learningapps.org/watch?v=pmqz0ko9k19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Ça va
6,3,"<iframe src=""https://learningapps.org/watch?v=pby9synqa19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",S'appeler
6,4,"<iframe src=""https://learningapps.org/watch?v=pdptjyepn19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Être
6,5,"<iframe src=""https://learningapps.org/watch?v=ptef8w4gn19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",C'est/ce sont
6,6,"<iframe src=""https://learningapps.org/watch?v=pjximz39k19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Verbes en -er
6,7,"<iframe src=""https://learningapps.org/watch?v=pyy20n48319"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Articles
6,8,"<iframe src=""https://learningapps.org/watch?v=ps37enui519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Jours de la semaine
6,9,"<iframe src=""https://learningapps.org/watch?v=psbhjzkd519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Dates
6,10,"<iframe src=""https://learningapps.org/watch?v=p7uojigm319"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Lexique
7,1,"<iframe src=""https://learningapps.org/watch?v=pwo9jum1519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Lexique
7,2,"<iframe src=""https://learningapps.org/watch?v=ppkb1subn19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Être
7,3,"<iframe src=""https://learningapps.org/watch?v=p0qjh1cwc19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Verbes en -er
7,4,"<iframe src=""https://learningapps.org/watch?v=ph0a40s7t19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Iangues
7,5,"<iframe src=""https://learningapps.org/watch?v=pjay0t7gt19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Noms des pays
7,6,"<iframe src=""https://learningapps.org/watch?v=pzka3un2j19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Prepositions et pays
7,7,"<iframe src=""https://learningapps.org/watch?v=pxi0mpky219"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Place de I'adjectif
8,1,"<iframe src=""https://learningapps.org/watch?v=p0inx5mdt19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Les jours de la semaine
8,2,"<iframe src=""https://learningapps.org/watch?v=pxfosmmya19"" style=""border:0px;width:100%;height:1350px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Les mois de l'année
8,3,"<iframe src=""https://learningapps.org/watch?v=pbhun8s1k19"" style=""border:0px;width:100%;height:400px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Mois/chiffres
8,4,"<iframe src=""https://learningapps.org/watch?v=p9v1fw9mc19"" style=""border:0px;width:100%;height:600px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Comment/comme
8,5,"<iframe src=""https://learningapps.org/watch?v=p4mji2a7j19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Être
8,6,"<iframe src=""https://learningapps.org/watch?v=pccp91imn19"" style=""border:0px;width:100%;height:450px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Verbes en -er
8,7,"<iframe src=""https://learningapps.org/watch?v=p9q92v6wn19"" style=""border:0px;width:100%;height:400px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Géographie
8,8,"<iframe src=""https://learningapps.org/watch?v=p4x2m4snt19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Adjectifs de nationalité
9,1,"<iframe src=""https://learningapps.org/watch?v=pg0c2j6d319"" style=""border:0px;width:100%;height:541px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Lexique
9,2,"<iframe src=""https://learningapps.org/watch?v=pr39t1xe219"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Обстоятельства времен
9,3,"<iframe src=""https://learningapps.org/watch?v=pyri3bjm519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Jours de la semaine
9,4,"<iframe src=""https://learningapps.org/watch?v=pnbgb5h6n19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Interrogatifs
9,5,"<iframe src=""https://learningapps.org/watch?v=pjiwfde8k19"" style=""border:0px;width:100%;height:915px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Quel
9,6,"<iframe src=""https://learningapps.org/watch?v=pqw4bjykj19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Professions
9,7,"<iframe src=""https://learningapps.org/watch?v=p8637tvpk19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Genre des professions
10,1,"<iframe src=""https://learningapps.org/watch?v=p826sdes219"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Salutations
10,2,"<iframe src=""https://learningapps.org/watch?v=pfz9h3r1c19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Description 
10,3,"<iframe src=""https://learningapps.org/watch?v=pxci5bvdt19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Description
10,4,"<iframe src=""https://learningapps.org/watch?v=pgme6xs5j19"" style=""border:0px;width:100%;height:621px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Description
10,5,"<iframe src=""https://learningapps.org/watch?v=p5h0cb3bk19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe connaître
10,6,"<iframe src=""https://learningapps.org/watch?v=pcrafs9g319"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Adverbes
10,7,"<iframe src=""https://learningapps.org/watch?v=ph37x6ivj19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Dialogue
10,8,"<iframe src=""https://learningapps.org/watch?v=ppz2ev8kj19"" style=""border:0px;width:100%;height:640px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Nombres
11,1,"<iframe src=""https://learningapps.org/watch?v=p0ki3itx219"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",L'alphabet français
11,2,"<iframe src=""https://learningapps.org/watch?v=pmpnpgo2519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Six / dix
11,3,"<iframe src=""https://learningapps.org/watch?v=px4kdgbc319"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>","Monsieurs, messieurs..."
11,4,"<iframe src=""https://learningapps.org/watch?v=puyy68vra19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Lexique
11,5,"<iframe src=""https://learningapps.org/watch?v=prfsi3xet19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe connaître
11,6,"<iframe src=""https://learningapps.org/watch?v=p0y5am7sa19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe avoir
11,7,"<iframe src=""https://learningapps.org/watch?v=pd05xg3hj19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Être ou avoir
12,1,"<iframe src=""https://learningapps.org/watch?v=p881xn8on19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Sigles
12,2,"<iframe src=""https://learningapps.org/watch?v=pb15k5cga19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Iexique
12,3,"<iframe src=""https://learningapps.org/watch?v=pocw97obk19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Pronoms personnels
12,4,"<iframe src=""https://learningapps.org/watch?v=pebki4env19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>","Les verbes avoir, être, connaître"
12,5,"<iframe src=""https://learningapps.org/watch?v=p7ybshik519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Expressions avec le verbe avoir
12,6,"<iframe src=""https://learningapps.org/watch?v=p8jdixz9t19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Article indéfini
12,7,"<iframe src=""https://learningapps.org/watch?v=prpn5pt9j19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Article indéfini
12,8,"<iframe src=""https://learningapps.org/watch?v=pi80bx6tt19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Vogelas
13,1,"<iframe src=""https://learningapps.org/watch?v=pnqn3ogh219"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Dialogue 
13,2,"<iframe src=""https://learningapps.org/watch?v=p1eyi968519"" style=""border:0px;width:100%;height:661px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Qui est-ce/ qu'est-ce que c’est 
13,3,"<iframe src=""https://learningapps.org/watch?v=p4y42zu9519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>","Article contracté de + le, la, l', les"
13,3,"<iframe src=""https://learningapps.org/watch?v=pipk40jok19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Article défini
13,4,"<iframe src=""https://learningapps.org/watch?v=pn7xqiz6c19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Article 
13,6,"<iframe src=""https://learningapps.org/watch?v=p3yp6mnen19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>","Article contracté à + le, la, I', les"
13,7,"<iframe src=""https://learningapps.org/watch?v=pjro9pf1k19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Expressions avec avoir
13,8,"<iframe src=""https://learningapps.org/watch?v=pojdnv25j19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",L'âge
14,1,"<iframe src=""https://learningapps.org/watch?v=pcigr6m0c19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Lexique
14,2,"<iframe src=""https://learningapps.org/watch?v=p5btuqcj319"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Interrogatifs
14,3,"<iframe src=""https://learningapps.org/watch?v=pvgv03uat19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Être ou avoir
