Lesson,N,HTML,TITLE
21,2,"<iframe src=""https://learningapps.org/watch?v=p9o1qcewk19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe aller
21,3,"<iframe src=""https://learningapps.org/watch?v=px597y9q219"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Transports
21,4,"<iframe src=""https://learningapps.org/watch?v=pjqq47qak19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Lexique
21,5,"<iframe src=""https://learningapps.org/watch?v=pe8w7wh6j19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Vêtements
21,6,"<iframe src=""https://learningapps.org/watch?v=puyvsartk19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>","Sortir, partir, écrire, venir"
21,7,"<iframe src=""https://learningapps.org/watch?v=pvf2hOjgn19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Chaque + nom
21,8,"<iframe src=""https://learningapps.org/watch?v=pri3zjOza19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Savoir ou connaître
22,1,"<iframe src=""https://learningapps.org/watch?v=pc6n717sc19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Vêtements
22,2,"<iframe src=""https://learningapps.org/watch?v=p232e5dbk19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Vêtements
22,3,"<iframe src=""https://learningapps.org/watch?v=puzx0ghek19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Santé
22,4,"<iframe src=""https://learningapps.org/watch?v=pnq3pjat319"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe venir
22,5,"<iframe src=""https://learningapps.org/watch?v=p5bi2ed0c19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Les verbes des familles 
22,6,"<iframe src=""https://learningapps.org/watch?v=pc5p8jnrk19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Prépositions
22,7,"<iframe src=""https://learningapps.org/watch?v=ptd90n3m219"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Repas
22,8,"<iframe src=""https://learningapps.org/watch?v=pg8wf6xja19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe faire
22,9,"<iframe src=""https://learningapps.org/watch?v=pni59ct4519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le temps qu'il fait (noro/ia)
23,1,"<iframe src=""https://learningapps.org/watch?v=pbfwnuhz519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Dialogue
23,2,"<iframe src=""https://learningapps.org/watch?v=p4dmxy5ut19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>","Venir, devenir, revenir etc."
23,3,"<iframe src=""https://learningapps.org/watch?v=pibq3npx519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Santé
23,4,"<iframe src=""https://learningapps.org/watch?v=peq8372tn19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>","Sortir, pronoms toniques "
23,5,"<iframe src=""https://learningapps.org/watch?v=p4ifiv80519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Vêtements
23,6,"<iframe src=""https://learningapps.org/watch?v=pajbpvhb319"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>","Voir, lire, attendre, entendre"
23,7,"<iframe src=""https://learningapps.org/watch?v=p9qyo3dka19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe faire
23,8,"<iframe src=""https://learningapps.org/watch?v=pv6cv9jnn19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le futur proche
24,8,"<iframe src=""https://learningapps.org/watch?v=pxvacb11v19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Faire + article
24,6,"<iframe src=""https://learningapps.org/watch?v=p3udkqq0j19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Ioisirs
24,1,"<iframe src=""https://learningapps.org/watch?v=p6mnuxkkj19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Iexique
24,2,"<iframe src=""https://learningapps.org/watch?v=ph88hy7vn19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe partir
24,7,"<iframe src=""https://learningapps.org/watch?v=pofmtd1k519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe faire
24,4,"<iframe src=""https://learningapps.org/watch?v=pvscm5ooc19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Les verbes modaux
24,3,"<iframe src=""https://learningapps.org/watch?v=pfp7dcrsj19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>","Sans. pour, avec, chez, comme"
24,5,"<iframe src=""https://learningapps.org/watch?v=pObyy7re519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le temps qu'il fait
25,9,"<iframe src=""https://learningapps.org/watch?v=p3bdd5gha19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Expressions avec les verbes modaux
25,7,"<iframe src=""https://learningapps.org/watch?v=pv3jr1eea19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Articles
25,5,"<iframe src=""https://learningapps.org/watch?v=pg1jet37519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Entendre ou écouter
25,6,"<iframe src=""https://learningapps.org/watch?v=pjcihs0o319"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe voir
25,4,"<iframe src=""https://learningapps.org/watch?v=pj9ir19ma19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Les verbes en -dre 
25,1,"<iframe src=""https://learningapps.org/watch?v=pp5t9t2i219"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Lexique
25,6,"<iframe src=""https://learningapps.org/watch?v=puve3as7219"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Les saisons et les fêtes
25,3,"<iframe src=""https://learningapps.org/watch?v=pucjbdx3519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>","Écrire, lire, dormir, croire"
25,2,"<iframe src=""https://learningapps.org/watch?v=pircr9vt319"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Loisirs
26,1,"<iframe src=""https://learningapps.org/watch?v=p5qsfn8sn19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Dialogue
26,3,"<iframe src=""https://learningapps.org/watch?v=pus9bf44j19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>","Loisirs (aller, sortir à) "
26,9,"<iframe src=""https://learningapps.org/watch?v=ps3tbynfc19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>","Boire, finir"
26,8,"<iframe src=""https://learningapps.org/watch?v=pfcpa9e0c19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Voir ou regarder
26,7,"<iframe src=""https://learningapps.org/watch?v=pdvu3swo319"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Genres de films
26,5,"<iframe src=""https://learningapps.org/watch?v=ptug2qetj19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Jouer à/de
26,4,"<iframe src=""https://learningapps.org/watch?v=pzaao6b5j19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>","Mots auxiliaires (articles, prépositions)"
26,2,"<iframe src=""https://learningapps.org/watch?v=pgv0xy72v19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Loisirs
26,6,"<iframe src=""https://learningapps.org/watch?v=pq5njsyzj19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe attendre
27,7,"<iframe src=""https://learningapps.org/watch?v=pbwp553gj19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Lexique
27,6,"<iframe src=""https://learningapps.org/watch?v=ptvhw5utt19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Pouvoir / savoir
27,9,"<iframe src=""https://learningapps.org/watch?v=pf1wcektv19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>","Ouvrir, recevoir, cueillir, éteindre"
27,8,"<iframe src=""https://learningapps.org/watch?v=pdubs6zzk19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Verbes du 2e gr.
27,5,"<iframe src=""https://learningapps.org/watch?v=piy0i6i1519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe vouloir
27,2,"<iframe src=""https://learningapps.org/watch?v=p9o1qcewk19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe boire
27,3,"<iframe src=""https://learningapps.org/watch?v=p4645uhbk19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Verbes en -er
27,1,"<iframe src=""https://learningapps.org/watch?v=p1tjfusnt19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Lexique
27,4,"<iframe src=""https://learningapps.org/watch?v=pvujvtw3j19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Instruments de musique/sports
28,8,"<iframe src=""https://learningapps.org/watch?v=ph8gryvrt19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Foramtion des verbes du 2e gr.
28,2,"<iframe src=""https://learningapps.org/watch?v=pf1xttdct19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe vouloir
28,7,"<iframe src=""https://learningapps.org/watch?v=pzpxus9hn19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Conjugaison des verbes du 2e gr
28,1,"<iframe src=""https://learningapps.org/watch?v=pivn4mh9j19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Dialogue
28,9,"<iframe src=""https://learningapps.org/watch?v=pj2e0sy6a19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le P.C.
28,6,"<iframe src=""https://learningapps.org/watch?v=ptt40bmg319"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Lexique
28,5,"<iframe src=""https://learningapps.org/watch?v=pr65umpn319"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>","Mentir, mettre, conduire, joindre"
28,4,"<iframe src=""https://learningapps.org/watch?v=pag0hcje319"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Lexique
28,3,"<iframe src=""https://learningapps.org/watch?v=pcnvrx94t19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe boire
29,7,"<iframe src=""https://learningapps.org/watch?v=pkusbxijj19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Fréquence
29,9,"<iframe src=""https://learningapps.org/watch?v=pv3bx5tb219"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le Présent/ le PC
29,5,"<iframe src=""https://learningapps.org/watch?v=pzt3x82q219"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Lexique
29,6,"<iframe src=""https://learningapps.org/watch?v=pfm6pxpb519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>","Disparaître, plaire, vivre, traduire"
29,8,"<iframe src=""https://learningapps.org/watch?v=p1tqwmon519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Participe Passé
29,4,"<iframe src=""https://learningapps.org/watch?v=pmbcn1vs519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Verbes du 2e gr.
29,3,"<iframe src=""https://learningapps.org/watch?v=pomnv0u5t19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe mettre
29,1,"<iframe src=""https://learningapps.org/watch?v=p3e29yyic19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Lexique
29,2,"<iframe src=""https://learningapps.org/watch?v=p7jfyimv319"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe pouvoir
30,4,"<iframe src=""https://learningapps.org/watch?v=pako0704t19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Dialogue
30,9,"<iframe src=""https://learningapps.org/watch?v=pgdvckiqa19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le P.C.
30,7,"<iframe src=""https://learningapps.org/watch?v=pvzfe3gzt19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe mettre
30,3,"<iframe src=""https://learningapps.org/watch?v=pnce1q2jn19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe devoir
30,6,"<iframe src=""https://learningapps.org/watch?v=pcn6bfbyc19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe mettre
30,5,"<iframe src=""https://learningapps.org/watch?v=p4hoy6qin19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe courir au Présent
30,8,"<iframe src=""https://learningapps.org/watch?v=pq67ta4t319"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Participe Passé
30,2,"<iframe src=""https://learningapps.org/watch?v=px5exi8oc19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Lexique
30,1,"<iframe src=""https://learningapps.org/watch?v=pfg5265b519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",[s]
31,8,"<iframe src=""https://learningapps.org/watch?v=p486vrrej19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le P.C.
31,6,"<iframe src=""https://learningapps.org/watch?v=prmeq2p4n19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Aussi/non plus
31,3,"<iframe src=""https://learningapps.org/watch?v=pks0sbn0319"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Préfixe re- + verbe
31,5,"<iframe src=""https://learningapps.org/watch?v=pgxyer4cj19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Vêtements
31,9,"<iframe src=""https://learningapps.org/watch?v=pxky01ee519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",L'heure
31,1,"<iframe src=""https://learningapps.org/watch?v=p4vc7mnpn19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Lexique
31,7,"<iframe src=""https://learningapps.org/watch?v=pudumphy219"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Participe Passé (audio)
31,4,"<iframe src=""https://learningapps.org/watch?v=p8gdyj9fk19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe courir
31,2,"<iframe src=""https://learningapps.org/watch?v=pubuoi5tk19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe devoir au Présent
32,2,"<iframe src=""https://learningapps.org/watch?v=pcz71e3qn19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe vivre au Présent
32,3,"<iframe src=""https://learningapps.org/watch?v=pvhzhwij519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe devoir
32,5,"<iframe src=""https://learningapps.org/watch?v=pu38hu7ma19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Situation dans le temps
32,9,"<iframe src=""https://learningapps.org/watch?v=pjc4hr46t19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Présent/P.C.
32,7,"<iframe src=""https://learningapps.org/watch?v=p82pwiefj19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Dialogue
32,6,"<iframe src=""https://learningapps.org/watch?v=pzd2bstpa19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le P.C.
32,4,"<iframe src=""https://learningapps.org/watch?v=p5twg6rfj19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",L'heure
32,1,"<iframe src=""https://learningapps.org/watch?v=p3m4t06tk19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Circonstances de temps
32,8,"<iframe src=""https://learningapps.org/watch?v=pmfqgiw0n19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Participe passé (audio)
33,7,"<iframe src=""https://learningapps.org/watch?v=pi840q2d319"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Chaque/tout
33,9,"<iframe src=""https://learningapps.org/watch?v=px6f801it19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le P.C. avec être/avoir
33,6,"<iframe src=""https://learningapps.org/watch?v=pwaszpo4519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Jour/journée etc
33,5,"<iframe src=""https://learningapps.org/watch?v=pp3ip3agj19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Situation dans le temps
33,3,"<iframe src=""https://learningapps.org/watch?v=pjdzqyn6319"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe vivre
33,2,"<iframe src=""https://learningapps.org/watch?v=pgepmg8gn19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe suivre au Présent
33,4,"<iframe src=""https://learningapps.org/watch?v=pmqeyqv5t19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",L'heure
33,1,"<iframe src=""https://learningapps.org/watch?v=p66bxjqn319"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Lexique
33,8,"<iframe src=""https://learningapps.org/watch?v=puqvupdzt19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Présent / P.C.
34,9,"<iframe src=""https://learningapps.org/watch?v=psbkancin19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le P.C. avec être
34,7,"<iframe src=""https://learningapps.org/watch?v=p4hgmove319"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Sans-infiniif
34,6,"<iframe src=""https://learningapps.org/watch?v=paep5quy319"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",L'heure
34,2,"<iframe src=""https://learningapps.org/watch?v=po1nyn1vn19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe suivre
34,4,"<iframe src=""https://learningapps.org/watch?v=p4yn28hfn19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Lexique
34,8,"<iframe src=""https://learningapps.org/watch?v=pqwh8z1rc19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le P.C.
34,3,"<iframe src=""https://learningapps.org/watch?v=p16x6fsxt19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Lexique
34,5,"<iframe src=""https://learningapps.org/watch?v=peocuib1t19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Même(s)
34,1,"<iframe src=""https://learningapps.org/watch?v=pnixzivij19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Lexique
35,1,"<iframe src=""https://learningapps.org/watch?v=p8tkdxz0k19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Dialogue
35,7,"<iframe src=""https://learningapps.org/watch?v=prfs3zzfn19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Lexique
35,6,"<iframe src=""https://learningapps.org/watch?v=p4wza7nyj19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe conduire au Présent
35,3,"<iframe src=""https://learningapps.org/watch?v=ppchtwvo519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe sortir
35,9,"<iframe src=""https://learningapps.org/watch?v=paqfw1q6519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Avoir/être 
35,2,"<iframe src=""https://learningapps.org/watch?v=pahh6avvn19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Lexique
35,4,"<iframe src=""https://learningapps.org/watch?v=pb5y9nb9k19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Partir en/pour
35,5,"<iframe src=""https://learningapps.org/watch?v=px41eb39519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",L'heure
35,8,"<iframe src=""https://learningapps.org/watch?v=pavgp8ur519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le P.C.
36,9,"<iframe src=""https://learningapps.org/watch?v=p4twnbf1t19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le P.C.
36,8,"<iframe src=""https://learningapps.org/watch?v=pngw2qypk19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le Présent
36,1,"<iframe src=""https://learningapps.org/watch?v=pk8g0vav319"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Lexique
36,6,"<iframe src=""https://learningapps.org/watch?v=puorai9pc19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Avant/devant
36,7,"<iframe src=""https://learningapps.org/watch?v=p7r42mfs519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",La petite souris
36,2,"<iframe src=""https://learningapps.org/watch?v=pihvqrw2319"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe ouvrir au Présent
36,5,"<iframe src=""https://learningapps.org/watch?v=pwu63kyvc19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Les points cardinaux
36,4,"<iframe src=""https://learningapps.org/watch?v=pra0hqt5c19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Le verbe construire
36,3,"<iframe src=""https://learningapps.org/watch?v=pqdnhp72319"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Lexique
37,1,"<iframe src=""https://learningapps.org/watch?v=pxokogsf519"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Dialogue
37,4,"<iframe src=""https://learningapps.org/watch?v=phdod91uc19"" style=""border:0px;width:100%;height:500px"" webkitallowfullscreen=""true"" mozallowfullscreen=""true""></iframe>",Les verbes des familles ouvrir/traduire
