exécrer,3,3,3,0,0,3,1
harceler,7,7,7,0,0,7,1
hébéter,4,4,4,0,0,4,1
receper,4,4,4,0,0,4,1
recéper,4,4,4,0,0,4,1
sevrer,2,2,2,0,0,2,1
grasseyer,0,0,0,0,0,0,1
aller,0,0,0,0,0,0,3
brumasser,0,0,0,0,0,0,1
ester,0,0,0,0,0,0,1
référencier,0,0,0,0,0,0,1
