VERB,EMPLOI,IDX,Verbe freq.
dégager,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,2023
dégeler,Intransitif - Transitif - Se conjugue avec soit avec avoir soit avec être aux temps composés - Impersonnel,48,#N/A
dégénérer,Intransitif - Se conjugue avec soit avec avoir soit avec être aux temps composés,39,#N/A
déglutir,Transitif,49,#N/A
dégourdir,Transitif - Autorise la forme pronominale,50,#N/A
dégoûter,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
déguerpir,Intransitif - Transitif,41,55
déguster,Transitif,49,#N/A
déjeuner,Intransitif,29,3435
délayer,Transitif,49,38
déléguer,Transitif,49,#N/A
délier,Transitif - Autorise la forme pronominale,50,#N/A
délivrer,Fréquent - Transitif,24,#N/A
demander,Fréquent - Transitif - Autorise la forme pronominale,25,28425
démanteler,Transitif,49,#N/A
démarrer,Intransitif - Transitif,41,149
déménager,Fréquent - Intransitif - Transitif - Autorise la forme pronominale - Se conjugue avec soit avec avoir soit avec être aux temps composés,19,#N/A
se démener,Autorise la forme pronominale,0,#N/A
démentir,Transitif - Autorise la forme pronominale,50,#N/A
démettre,Transitif - Autorise la forme pronominale,50,#N/A
demeurer,Fréquent - Intransitif - Se conjugue avec soit avec avoir soit avec être aux temps composés,14,4537
démissionner,Intransitif - Transitif,41,#N/A
démolir,Fréquent - Transitif,24,247
démontrer,Transitif,49,#N/A
démordre,Intransitif,29,#N/A
démunir,Transitif - Autorise la forme pronominale,50,#N/A
dénier,Transitif,49,#N/A
dénigrer,Transitif,49,55
dénoncer,Transitif,49,#N/A
se dénuer,Autorise la forme pronominale,0,#N/A
dépanner,Transitif,49,#N/A
départir,Transitif - Autorise la forme pronominale,50,#N/A
dépasser,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
dépecer,Transitif,49,55
dépêcher,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
dépeindre,Transitif,49,#N/A
dépendre,Transitif,49,2271
dépenser,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
dépérir,Intransitif,29,#N/A
déplacer,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
déplaire,Fréquent - Intransitif - Autorise la forme pronominale,7,#N/A
déplier,Transitif - Autorise la forme pronominale,50,#N/A
déployer,Transitif - Autorise la forme pronominale,50,#N/A
déposer,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
déprimer,Transitif,49,#N/A
déranger,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
déraper,Intransitif,29,25
déroger,Intransitif,29,#N/A
dérouler,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
