VERB,EMPLOI,IDX,Verbe freq.
fendre,Transitif - Autorise la forme pronominale,50,512
férir,Transitif - Défectif,55,#N/A
fermer,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
festoyer,Intransitif - Transitif - Autorise la forme pronominale,42,#N/A
fêter,Transitif,49,#N/A
feuilleter,Transitif,49,#N/A
fiancer,Transitif - Autorise la forme pronominale,50,#N/A
ficeler,Transitif,49,#N/A
ficher,Transitif - Autorise la forme pronominale,50,1008
se fier,Fréquent - Autorise la forme pronominale,4,#N/A
figer,Intransitif - Transitif - Autorise la forme pronominale,42,#N/A
figurer,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
filer,Intransitif - Transitif - Autorise la forme pronominale,42,#N/A
filmer,Transitif,49,#N/A
finaliser,Transitif,49,#N/A
finir,Fréquent - Intransitif - Transitif,16,12656
fixer,Fréquent - Transitif - Autorise la forme pronominale,25,2079
flamboyer,Intransitif,29,#N/A
flâner,Intransitif,29,210
flatter,Fréquent - Transitif - Autorise la forme pronominale,25,893
fléchir,Intransitif - Transitif - Autorise la forme pronominale,42,#N/A
fleurir,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
flotter,Fréquent - Intransitif - Transitif - Impersonnel,21,#N/A
flûter,Intransitif,29,#N/A
foirer,Intransitif,29,#N/A
foncer,Fréquent - Intransitif - Transitif,16,#N/A
fonctionner,Intransitif,29,#N/A
fonder,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
fondre,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,1156
forcer,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
forer,Transitif,49,30
forger,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
formater,Transitif - Autorise la forme pronominale,50,#N/A
former,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
formuler,Transitif,49,#N/A
foudroyer,Transitif,49,#N/A
fouetter,Fréquent - Intransitif - Transitif,16,#N/A
fouiller,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,941
fouir,Intransitif,29,#N/A
fournir,Fréquent - Transitif - Autorise la forme pronominale,25,2261
fourvoyer,Transitif - Autorise la forme pronominale,50,#N/A
foutre,Transitif - Autorise la forme pronominale - Défectif,51,1072
fraîchir,Intransitif,29,#N/A
franchir,Fréquent - Transitif,24,1117
frapper,Fréquent - Transitif - Autorise la forme pronominale,25,4056
frayer,Intransitif - Transitif - Autorise la forme pronominale,42,#N/A
freiner,Intransitif - Transitif,41,#N/A
frémir,Fréquent - Intransitif,6,930
fréquenter,Fréquent - Intransitif - Transitif,16,622
frire,Intransitif - Transitif - Défectif,45,#N/A
froisser,Transitif - Autorise la forme pronominale,50,313
frôler,Transitif - Autorise la forme pronominale,50,408
frotter,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,747
fuir,Fréquent - Intransitif - Transitif,16,2920
fumer,Fréquent - Intransitif - Transitif,16,#N/A
fureter,Intransitif,29,#N/A
fuser,Intransitif,29,#N/A
fusionner,Intransitif - Transitif,41,#N/A
gâcher,Intransitif - Transitif,41,199
gager,Transitif,49,#N/A
gagner,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,5057
galoper,Intransitif - Transitif,41,#N/A
garantir,Fréquent - Transitif,24,#N/A
garder,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
garer,Transitif - Autorise la forme pronominale,50,#N/A
garnir,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
gaspiller,Intransitif,29,#N/A
gâter,Fréquent - Transitif - Autorise la forme pronominale,25,739
gazer,Intransitif - Transitif,41,#N/A
geindre,Intransitif,29,#N/A
geler,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
gémir,Fréquent - Intransitif - Transitif,16,1099
gêner,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
générer,Transitif,49,#N/A
gérer,Transitif,49,#N/A
gésir,Intransitif,29,536
gîter,Intransitif,29,#N/A
glacer,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
glander,Intransitif,29,#N/A
glisser,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,3599
gonfler,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
se gourer,Autorise la forme pronominale,0,#N/A
goûter,Fréquent - Intransitif - Transitif,16,#N/A
grandir,Fréquent - Intransitif - Transitif - Autorise la forme pronominale - Se conjugue avec soit avec avoir soit avec être aux temps composés,19,#N/A
grasseyer,Intransitif,29,#N/A
gratter,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,614
graver,Intransitif - Autorise la forme pronominale,30,#N/A
gravir,Transitif,49,#N/A
gréer,Transitif,49,#N/A
grêler,Impersonnel,28,#N/A
grignoter,Intransitif - Transitif,41,85
grimper,Fréquent - Intransitif - Transitif,16,723
grogner,Fréquent - Intransitif,6,519
gronder,Fréquent - Intransitif - Transitif,16,951
grossir,Fréquent - Intransitif - Transitif - Se conjugue avec soit avec avoir soit avec être aux temps composés,23,#N/A
guérir,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,1261
guetter,Fréquent - Transitif,24,1074
gueuler,Intransitif - Transitif,41,#N/A
guider,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
habiliter,Transitif,49,#N/A
habiller,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
habiter,Fréquent - Intransitif - Transitif,16,3048
habituer,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
habler,Intransitif - Contient un h aspiré,32,#N/A
hacher,Transitif - Contient un h aspiré,54,#N/A
haïr,Fréquent - Transitif - Contient un h aspiré,27,#N/A
haleter,Intransitif - Contient un h aspiré,32,#N/A
halluciner,Transitif,49,#N/A
hanter,Transitif - Contient un h aspiré,54,538
happer,Transitif - Contient un h aspiré,54,104
harceler,Transitif - Contient un h aspiré,54,166
hâter,Fréquent - Transitif - Autorise la forme pronominale - Contient un h aspiré,26,#N/A
hausser,Fréquent - Transitif - Autorise la forme pronominale - Contient un h aspiré,26,#N/A
haver,Intransitif - Transitif - Contient un h aspiré,44,100
havir,Intransitif - Transitif - Contient un h aspiré,44,(Vb.Grm.T5.F11.)
héberger,Transitif,49,#N/A
héler,Transitif - Contient un h aspiré,54,151
hennir,Intransitif,29,90
hériter,Fréquent - Intransitif - Transitif,16,#N/A
hésiter,Fréquent - Intransitif,6,3085
heurter,Fréquent - Transitif - Autorise la forme pronominale - Contient un h aspiré,26,1413
homogénéiser,Transitif,49,#N/A
honnir,Transitif - Contient un h aspiré,54,#N/A
honorer,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
houer,Transitif - Contient un h aspiré,54,#N/A
huer,Intransitif - Transitif - Contient un h aspiré,44,#N/A
huir,Intransitif - Défectif,33,#N/A
humer,Transitif - Contient un h aspiré,54,#N/A
humilier,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
hurler,Fréquent - Intransitif - Transitif - Contient un h aspiré,20,1104
identifier,Transitif - Autorise la forme pronominale,50,#N/A
ignorer,Fréquent - Transitif - Autorise la forme pronominale,25,4284
illuminer,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
illustrer,Transitif - Autorise la forme pronominale,50,#N/A
imager,Transitif,49,#N/A
imaginer,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
imiter,Fréquent - Transitif,24,1216
s'immiscer,Autorise la forme pronominale,0,#N/A
impacter,Transitif,49,#N/A
impartir,Transitif,49,#N/A
impatienter,Transitif - Autorise la forme pronominale,50,#N/A
implanter,Transitif - Autorise la forme pronominale,50,#N/A
implémenter,Transitif,49,#N/A
impliquer,Transitif,49,1144
importer,Fréquent - Intransitif - Transitif,16,#N/A
importuner,Transitif,49,#N/A
imposer,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
imprégner,Transitif - Autorise la forme pronominale,50,#N/A
impressionner,Transitif,49,#N/A
imprimer,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
inaugurer,Transitif,49,183
inciter,Intransitif - Transitif,41,219
incliner,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,1629
inclure,Transitif,49,#N/A
incomber,Intransitif - Impersonnel,35,158
téter,Intransitif - Transitif,41,92
indiquer,Fréquent - Transitif,24,1959
induire,Transitif,49,#N/A
influencer,Transitif,49,#N/A
influer,Intransitif,29,#N/A
informer,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
inhiber,Transitif,49,#N/A
initier,Transitif - Autorise la forme pronominale,50,#N/A
inonder,Fréquent - Transitif,24,#N/A
inquiéter,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
inscrire,Transitif - Autorise la forme pronominale,50,#N/A
insérer,Transitif - Autorise la forme pronominale,50,255
insinuer,Transitif - Autorise la forme pronominale,50,441
insister,Fréquent - Intransitif,6,1962
inspirer,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
installer,Fréquent - Transitif - Autorise la forme pronominale,25,2138
instruire,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
intégrer,Intransitif - Transitif - Autorise la forme pronominale,42,#N/A
intensifier,Transitif - Autorise la forme pronominale,50,#N/A
interagir,Transitif,49,#N/A
interdire,Fréquent - Transitif - Autorise la forme pronominale,25,691
intéresser,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
interférer,Intransitif,29,#N/A
interpeller,Transitif,49,#N/A
interpréter,Transitif - Autorise la forme pronominale,50,#N/A
interroger,Fréquent - Transitif - Autorise la forme pronominale,25,2332
interrompre,Fréquent - Transitif - Autorise la forme pronominale,25,2065
intervenir,Intransitif - Se conjugue avec l'auxiliaire être aux temps composés,36,#N/A
intervertir,Transitif,49,#N/A
interviewer,Transitif,49,#N/A
intriguer,Intransitif - Transitif,41,#N/A
introduire,Fréquent - Transitif - Autorise la forme pronominale,25,1147
inventer,Fréquent - Transitif - Autorise la forme pronominale,25,1560
inverser,Transitif - Autorise la forme pronominale,50,#N/A
investiguer,Intransitif - Transitif - Autorise la forme pronominale,42,#N/A
investir,Intransitif - Transitif - Autorise la forme pronominale,42,#N/A
inviter,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
ioder,Transitif,49,#N/A
irriter,Fréquent - Intransitif - Autorise la forme pronominale,7,1001
isoler,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
issir,Intransitif - Défectif,33,3
jaillir,Fréquent - Intransitif - Se conjugue avec soit avec avoir soit avec être aux temps composés,14,1395
jalouser,Transitif,49,#N/A
japper,Intransitif,29,55
jaser,Intransitif,29,74
jaunir,Fréquent - Intransitif - Transitif,16,#N/A
jeter,Fréquent - Transitif - Autorise la forme pronominale,25,9590
jeûner,Intransitif,29,#N/A
joindre,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
jongler,Transitif,49,#N/A
jouer,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,9358
jouir,Fréquent - Intransitif,6,#N/A
juger,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,4022
jurer,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,2140
justifier,Transitif - Autorise la forme pronominale,50,#N/A
juter,Intransitif - Transitif,41,#N/A
kiffer,Transitif,49,#N/A
koter,Intransitif - S'utilise en Belgique,40,#N/A
lacer,Transitif,49,#N/A
lâcher,Fréquent - Intransitif - Transitif,16,1722
lainer,Transitif,49,#N/A
laisser,Transitif - Autorise la forme pronominale,50,24749
se lamenter,Autorise la forme pronominale,0,#N/A
lamer,Transitif,49,#N/A
lancer,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
languir,Intransitif - Autorise la forme pronominale,30,#N/A
laper,Intransitif - Transitif,41,33
larguer,Transitif,49,23
lasser,Transitif - Autorise la forme pronominale,50,#N/A
laver,Fréquent - Transitif - Autorise la forme pronominale,25,1335
layer,Transitif,49,#N/A
lécher,Transitif - Autorise la forme pronominale,50,303
léguer,Transitif,49,#N/A
léser,Transitif,49,#N/A
leurrer,Transitif - Autorise la forme pronominale,50,#N/A
lever,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,10779
libérer,Transitif - Autorise la forme pronominale,50,#N/A
licencier,Transitif,49,#N/A
lier,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
limiter,Transitif,49,#N/A
lire,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,9828
lister,Transitif,49,#N/A
livrer,Fréquent - Transitif - Autorise la forme pronominale,25,1983
loger,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
longer,Fréquent - Transitif,24,#N/A
lotir,Transitif,49,#N/A
louer,Fréquent - Transitif - Autorise la forme pronominale,25,1032
louper,Intransitif - Transitif,41,#N/A
louvoyer,Intransitif,29,#N/A
lover,Transitif - Autorise la forme pronominale,50,51
luire,Fréquent - Intransitif,6,#N/A
luter,Transitif,49,#N/A
lutter,Fréquent - Intransitif,6,#N/A
luxer,Transitif - Autorise la forme pronominale,50,#N/A
mâcher,Fréquent - Transitif,24,#N/A
maigrir,Intransitif - Transitif - Se conjugue avec soit avec avoir soit avec être aux temps composés,47,#N/A
maintenir,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
maîtriser,Transitif - Autorise la forme pronominale,50,#N/A
manager,Transitif,49,10
mander,Transitif,49,#N/A
manger,Fréquent - Transitif,24,7464
manier,Transitif - Autorise la forme pronominale,50,#N/A
manifester,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,2171
manipuler,Transitif,49,#N/A
manquer,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,8307
maquiller,Transitif - Autorise la forme pronominale,50,#N/A
marcher,Intransitif,29,6128
marier,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
marquer,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
se marrer,Autorise la forme pronominale,0,#N/A
marteler,Transitif,49,#N/A
masser,Intransitif - Transitif - Autorise la forme pronominale,42,#N/A
maudire,Fréquent - Transitif,24,#N/A
maugréer,Intransitif - Transitif,41,#N/A
mécroire,Transitif,49,#N/A
médire,Intransitif,29,#N/A
méditer,Intransitif - Transitif,41,#N/A
se méfier,Autorise la forme pronominale,0,#N/A
mélanger,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
mêler,Fréquent - Transitif - Autorise la forme pronominale,25,2895
menacer,Fréquent - Intransitif - Transitif,16,#N/A
ménager,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
mendier,Fréquent - Intransitif - Transitif,16,#N/A
mener,Intransitif - Transitif,41,4381
mentionner,Transitif,49,#N/A
mentir,Fréquent - Intransitif - Autorise la forme pronominale,7,#N/A
se méprendre,Autorise la forme pronominale,0,#N/A
mériter,Fréquent - Transitif,24,#N/A
messeoir,Intransitif,29,#N/A
mesurer,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
métrer,Transitif,49,#N/A
mettre,Fréquent - Transitif - Autorise la forme pronominale,25,26842
meuler,Transitif,49,#N/A
meurtrir,Transitif,49,#N/A
miauler,Intransitif,29,66
migrer,Intransitif,29,#N/A
mijoter,Intransitif - Transitif - Autorise la forme pronominale,42,58
mimer,Transitif,49,#N/A
mincir,Intransitif,29,#N/A
miner,Transitif,49,#N/A
mirer,Transitif - Autorise la forme pronominale,50,#N/A
miser,Intransitif - Transitif,41,#N/A
modeler,Transitif - Autorise la forme pronominale,50,#N/A
modérer,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
modifier,Transitif - Autorise la forme pronominale,50,982
moisir,Intransitif,29,#N/A
mollir,Intransitif - Transitif,41,#N/A
monnayer,Transitif,49,#N/A
monter,Fréquent - Intransitif - Transitif - Autorise la forme pronominale - Se conjugue avec soit avec avoir soit avec être aux temps composés,19,10542
montrer,Fréquent - Transitif - Autorise la forme pronominale,25,11591
moquer,Fréquent - Transitif - Autorise la forme pronominale,25,1681
mordre,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,1113
se morfondre,Autorise la forme pronominale,0,#N/A
motiver,Transitif,49,#N/A
moucher,Intransitif - Transitif - Autorise la forme pronominale,42,#N/A
moudre,Transitif,49,44
mouiller,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
mouler,Transitif,49,#N/A
mourir,Fréquent - Intransitif - Autorise la forme pronominale - Se conjugue avec l'auxiliaire être aux temps composés,10,10576
mouver,Intransitif - Autorise la forme pronominale,30,#N/A
mouvoir,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
muer,Intransitif - Transitif - Autorise la forme pronominale,42,#N/A
multiplier,Fréquent - Transitif - Autorise la forme pronominale,25,862
munir,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
murer,Transitif - Autorise la forme pronominale,50,#N/A
mûrir,Intransitif - Transitif,41,#N/A
murmurer,Fréquent - Intransitif - Transitif,16,3307
muser,Intransitif,29,#N/A
muter,Transitif,49,#N/A
nager,Fréquent - Intransitif - Transitif,16,402
naître,Fréquent - Intransitif - Se conjugue avec l'auxiliaire être aux temps composés,13,3627
narguer,Transitif,49,86
narrer,Transitif,49,#N/A
naviguer,Intransitif,29,#N/A
nécessiter,Transitif,49,#N/A
négliger,Fréquent - Transitif - Autorise la forme pronominale,25,661
négocier,Intransitif - Transitif - Autorise la forme pronominale,42,#N/A
neiger,Fréquent - Impersonnel,5,#N/A
nettoyer,Fréquent - Transitif,24,#N/A
nier,Fréquent - Intransitif - Transitif,16,#N/A
niveler,Transitif,49,#N/A
noircir,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
nominer,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
nommer,Transitif,49,#N/A
noter,Fréquent - Transitif,24,#N/A
notifier,Transitif,49,#N/A
nouer,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
nourrir,Fréquent - Transitif - Autorise la forme pronominale,25,1916
noyer,Transitif - Autorise la forme pronominale,50,829
nuer,Transitif,49,#N/A
nuire,Intransitif,29,#N/A
obéir,Fréquent - Intransitif,6,1936
obliger,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
obscurcir,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
obséder,Transitif,49,#N/A
observer,Fréquent - Transitif - Autorise la forme pronominale,25,2818
obtempérer,Intransitif,29,#N/A
obtenir,Fréquent - Transitif - Autorise la forme pronominale,25,3700
occasionner,Transitif,49,#N/A
occire,Défectif,2,#N/A
occlure,Transitif,49,#N/A
occuper,Fréquent - Transitif - Autorise la forme pronominale,25,5842
ocrer,Transitif,49,#N/A
octroyer,Transitif - Autorise la forme pronominale,50,59
œuvrer,Intransitif,29,#N/A
offenser,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
officier,Fréquent - Intransitif,6,3461
offrir,Fréquent - Transitif - Autorise la forme pronominale,25,6466
oindre,Transitif,49,28
omettre,Transitif,49,134
opérer,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
opposer,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
opter,Intransitif,29,#N/A
ordonner,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
organiser,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
orienter,Transitif - Autorise la forme pronominale,50,#N/A
orner,Fréquent - Transitif,24,#N/A
osciller,Intransitif,29,307
oser,Fréquent - Transitif,24,5931
ôter,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
oublier,Fréquent - Transitif - Autorise la forme pronominale,25,6315
ouïr,Transitif,49,#N/A
ourdir,Transitif,49,#N/A
ouvrer,Intransitif - Transitif,41,#N/A
ouvrir,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,11532
pagayer,Intransitif,29,#N/A
pager,Intransitif - Autorise la forme pronominale,30,#N/A
paître,Intransitif - Transitif,41,#N/A
pâlir,Fréquent - Intransitif - Transitif,16,#N/A
pallier,Transitif,49,33
paner,Transitif,49,#N/A
panner,Transitif,49,#N/A
panser,Transitif,49,#N/A
paraître,Fréquent - Intransitif - Se conjugue avec soit avec avoir soit avec être aux temps composés,14,19652
paramétrer,Transitif,49,#N/A
parcourir,Fréquent - Transitif,24,#N/A
pardonner,Fréquent - Transitif - Autorise la forme pronominale,25,2424
parer,Transitif - Autorise la forme pronominale,50,492
parfaire,Transitif - Défectif,55,#N/A
parier,Intransitif - Transitif,41,414
parler,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,36999
parrainer,Transitif,49,#N/A
partager,Fréquent - Transitif - Autorise la forme pronominale,25,1337
participer,Intransitif,29,1102
partir,Fréquent - Intransitif - Transitif - Se conjugue avec l'auxiliaire être aux temps composés,22,10944
parvenir,Fréquent - Intransitif - Se conjugue avec l'auxiliaire être aux temps composés,13,#N/A
passer,Fréquent - Intransitif - Transitif - Autorise la forme pronominale - Se conjugue avec soit avec avoir soit avec être aux temps composés,19,28938
passionner,Transitif - Autorise la forme pronominale,50,#N/A
pâter,Intransitif,29,#N/A
patienter,Intransitif,29,#N/A
patiner,Intransitif - Transitif,41,#N/A
pâtir,Intransitif,29,#N/A
pauser,Intransitif,29,#N/A
paver,Transitif,49,#N/A
payer,Fréquent - Intransitif - Transitif,16,#N/A
peaufiner,Transitif,49,#N/A
pédaler,Intransitif,29,#N/A
peigner,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
peindre,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
peiner,Intransitif - Transitif - Autorise la forme pronominale,42,#N/A
peinturer,Transitif,49,#N/A
peler,Transitif,49,#N/A
pelleter,Transitif,49,#N/A
pencher,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,2472
pendre,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,1371
pénétrer,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,3165
penser,Fréquent - Intransitif - Transitif,16,27902
percer,Fréquent - Intransitif - Transitif,16,842
percevoir,Transitif,49,#N/A
perdre,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,8551
perdurer,Transitif,49,#N/A
pérenniser,Transitif,49,#N/A
périr,Fréquent - Intransitif,6,830
permettre,Fréquent - Transitif - Autorise la forme pronominale,25,7480
persévérer,Intransitif,29,187
persister,Intransitif,29,#N/A
persuader,Fréquent - Transitif - Autorise la forme pronominale,25,1194
perturber,Transitif,49,#N/A
peser,Fréquent - Intransitif - Transitif,16,#N/A
pétrir,Transitif,49,209
photographier,Transitif,49,#N/A
piéger,Transitif,49,#N/A
pifer,Transitif,49,#N/A
pincer,Fréquent - Transitif,24,520
piper,Intransitif - Transitif,41,#N/A
piquer,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,710
placer,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
plaider,Intransitif - Transitif,41,342
plaindre,Fréquent - Transitif - Autorise la forme pronominale,25,2492
plaire,Fréquent - Intransitif - Autorise la forme pronominale,7,#N/A
plaisanter,Fréquent - Intransitif - Transitif,16,#N/A
planer,Intransitif - Transitif,41,#N/A
planifier,Transitif,49,#N/A
planter,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
pleurer,Fréquent - Intransitif - Transitif,16,5238
pleuvoir,Fréquent - Intransitif - Impersonnel,12,#N/A
plier,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
plonger,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,1388
ployer,Intransitif - Transitif,41,#N/A
se poiler,Autorise la forme pronominale,0,#N/A
poindre,Intransitif - Défectif,33,173
pointer,Intransitif - Transitif - Autorise la forme pronominale,42,#N/A
polir,Fréquent - Transitif,24,#N/A
polluer,Intransitif - Transitif,41,#N/A
pondre,Fréquent - Intransitif - Transitif,16,109
porter,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,10018
poser,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,7147
positionner,Transitif,49,#N/A
posséder,Fréquent - Transitif - Autorise la forme pronominale,25,4274
poster,Transitif,49,#N/A
postuler,Transitif,49,#N/A
poter,Intransitif - S'utilise en Belgique,40,#N/A
pourrir,Fréquent - Intransitif - Transitif - Autorise la forme pronominale - Se conjugue avec l'auxiliaire être aux temps composés,18,#N/A
poursuivre,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
pourvoir,Transitif - Autorise la forme pronominale,50,#N/A
pousser,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,6894
pouvoir,Fréquent - Intransitif - Autorise la forme pronominale - Participe Passé Invariable,9,109334
pratiquer,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
précéder,Fréquent - Transitif,24,#N/A
prêcher,Fréquent - Intransitif - Transitif,16,561
précipiter,Fréquent - Transitif - Autorise la forme pronominale,25,1649
préciser,Transitif - Autorise la forme pronominale,50,#N/A
préconiser,Transitif,49,76
prédire,Transitif,49,#N/A
préétablir,Transitif,49,#N/A
préférer,Fréquent - Transitif,24,3104
prendre,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,37674
prénommer,Transitif - Autorise la forme pronominale,50,#N/A
préoccuper,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
préparer,Fréquent - Transitif - Autorise la forme pronominale,25,3620
prescrire,Intransitif - Transitif - Autorise la forme pronominale,42,#N/A
présenter,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
préserver,Transitif,49,#N/A
pressentir,Transitif,49,#N/A
presser,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
prétendre,Fréquent - Transitif,24,#N/A
prêter,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
prévaloir,Intransitif - Autorise la forme pronominale,30,#N/A
prévenir,Fréquent - Transitif,24,#N/A
prévoir,Fréquent - Transitif,24,#N/A
prier,Intransitif - Transitif,41,4936
primer,Intransitif - Transitif,41,#N/A
priser,Intransitif - Transitif,41,85
priver,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
privilégier,Transitif,49,#N/A
procéder,Intransitif,29,#N/A
procurer,Fréquent - Transitif - Autorise la forme pronominale,25,1094
prodiguer,Transitif,49,#N/A
produire,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,5771
profiter,Fréquent - Intransitif,6,2008
programmer,Intransitif - Transitif,41,#N/A
progresser,Intransitif,29,#N/A
projeter,Fréquent - Transitif,24,#N/A
prolonger,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
promener,Fréquent - Transitif - Autorise la forme pronominale,25,#N/A
promettre,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
promouvoir,Transitif,49,#N/A
prôner,Intransitif - Transitif,41,#N/A
prononcer,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,2852
proposer,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
proscrire,Transitif,49,#N/A
protéger,Fréquent - Transitif,24,1368
prouver,Fréquent - Transitif,24,#N/A
provenir,Fréquent - Intransitif - Se conjugue avec l'auxiliaire être aux temps composés,13,#N/A
provoquer,Fréquent - Transitif,24,1331
publier,Fréquent - Transitif,24,#N/A
puer,Intransitif - Transitif,41,#N/A
puiser,Transitif,49,#N/A
pulluler,Intransitif,29,105
punir,Fréquent - Transitif,24,493
qualifier,Transitif - Autorise la forme pronominale,50,#N/A
quémander,Intransitif - Transitif,41,#N/A
questionner,Transitif,49,#N/A
quêter,Intransitif - Transitif,41,#N/A
quitter,Fréquent - Transitif,24,7724
rabattre,Intransitif - Transitif - Autorise la forme pronominale,42,#N/A
raccourcir,Fréquent - Intransitif - Transitif - Autorise la forme pronominale,17,#N/A
raccrocher,Intransitif - Transitif - Autorise la forme pronominale,42,#N/A
racheter,Transitif - Autorise la forme pronominale,50,#N/A
