saill:ir,saillir,"0","0","0","2,3","2,3","2,3"
man:ger,voyager,"0","0","0","0","2","0"
pla:cer,violacer,"0","0","0","0","1","0"
réf:érer,vulnérer,"0","0","0","1","1","0"
j:eter,hoqueter,"3","3","3","0","0","3"
app:eler,taveler,"3","3","3","0","0","3"
netto:yer,hongroyer,"1","1","1","0","0","1"
pa:yer,zézayer,"1","1","1","0","0","1"
p:eler,videler,"1","1","1","0","0","1"
décr:éter,végéter,"1","1","1","0","0","1"
c:éder,succéder,"1","1","1","0","0","1"
m:ener,vener,"1","1","1","0","0","1"
l:ever,surélever,"1","1","1","0","0","1"
ach:eter,haleter,"1","1","1","0","0","1"
s:écher,sécher,"1","1","1","0","0","1"
ali:éner,rengréner,"1","1","1","0","0","1"
abr:éger,siéger,"1","1","1","3","0","1"
imp:étrer,perpétrer,"1","1","1","0","0","1"
rév:éler,héler,"1","1","1","0","0","1"
l:éguer,subdéléguer,"1","1","1","0","0","1"
cél:ébrer,zébrer,"1","1","1","0","0","1"
l:éser,réaléser,"1","1","1","0","0","1"
diss:équer,réséquer,"1","1","1","0","0","1"
s:emer,sursemer,"1","1","1","0","0","1"
cr:émer,écrémer,"1","1","1","0","0","1"
dép:ecer,redépecer,"0","0","0","2","0","0"
int:égrer,réintégrer,"1","1","1","0","0","1"
p:eser,soupeser,"1","1","1","0","0","1"
env:oyer,renvoyer,"2","2","2","0","0","2"
r:égler,régler,"1","1","1","0","0","1"
r:égner,régner,"1","1","1","0","0","1"
enfi:évrer,enfiévrer,"1","1","1","0","0","1"
ex:écrer,exécrer,"1","1","1","0","0","1"
harc:eler,harceler,"3","3","3","0","0","3"
héb:éter,hébéter,"1","1","1","0","0","1"
rec:eper,receper,"1","1","1","0","0","1"
rec:éper,recéper,"1","1","1","0","0","1"
s:evrer,sevrer,"1","1","1","0","0","1"
grasse:yer,grasseyer,"0","0","0","0","0","0"
:aller,aller,"0","0","0","0","0","0"
brumass:er,brumasser,"0","0","0","0","0","0"
est:er,ester,"0","0","0","0","0","0"
aim:er,référencier,"0","0","0","0","0","0"
