arroser,s'arroser
arsouiller,s'arsouiller
articuler,s'articuler
asperger,s'asperger
asphyxier,s'asphyxier
assécher,s'assécher
assembler,s'assembler
assibiler,s'assibiler
assimiler,s'assimiler
associer,s'associer
assommer,s'assommer
assoter,s'assoter
assumer,s'assumer
assurer,s'assurer
atomiser,s'atomiser
atrophier,s'atrophier
atteler,s'atteler
attabler,s'attabler
attacher,s'attacher
attaquer,s'attaquer
attarder,s'attarder
atténuer,s'atténuer
attifer,s'attifer
attirer,s'attirer
attraper,s'attraper
attribuer,s'attribuer
attrister,s'attrister
attrouper,s'attrouper
augmenter,s'augmenter
auréoler,s'auréoler
autocensurer,s'autocensurer
autodéterminer,s'autodéterminer
autofinancer,s'autofinancer
autoguider,s'autoguider
autoproclamer,s'autoproclamer
autoriser,s'autoriser
autosuggestionner,s'autosuggestionner
autotomiser,s'autotomiser
avérer,s'avérer
avancer,s'avancer
avatier,s'avatier
aventurer,s'aventurer
aveugler,s'aveugler
aviser,s'aviser
avitailler,s'avitailler
avoisiner,s'avoisiner
avouer,s'avouer
badigeonner,se badigeonner
bagarrer,se bagarrer
baguenauder,se baguenauder
baigner,se baigner
baisoter,se baisoter
baisser,se baisser
balader,se balader
balancer,se balancer
balkaniser,se balkaniser
balluchonner,se balluchonner
baluchonner,se baluchonner
banaliser,se banaliser
bander,se bander
baquer,se baquer
barber,se barber
barbifier,se barbifier
barrer,se barrer
barricader,se barricader
baser,se baser
bastonner,se bastonner
batailler,se batailler
bauger,se bauger
bécoter,se bécoter
bercer,se bercer
berlurer,se berlurer
bêtifier,se bêtifier
beurrer,se beurrer
bichonner,se bichonner
bider,se bider
bidonner,se bidonner
bigorner,se bigorner
biler,se biler
biloter,se biloter
bitturer,se bitturer
biturer,se biturer
blâmer,se blâmer
blaser,se blaser
blesser,se blesser
blinder,se blinder
bloquer,se bloquer
blouser,se blouser
bonifier,se bonifier
borner,se borner
botter,se botter
bouger,se bouger
boucher,se boucher
bouchonner,se bouchonner
boucler,se boucler
bouder,se bouder
bouffer,se bouffer
bourrer,se bourrer
boursouffler,se boursouffler
boursoufler,se boursoufler
bousculer,se bousculer
boutonner,se boutonner
boyauter,se boyauter
brailler,se brailler
brancher,se brancher
braquer,se braquer
brasser,se brasser
brésiller,se brésiller
briser,se briser
bronzer,se bronzer
brosser,se brosser
brouiller,se brouiller
brûler,se brûler
bureaucratiser,se bureaucratiser
buter,se buter
cabrer,se cabrer
cacher,se cacher
cailler,se cailler
caler,se caler
caleter,se caleter
calaminer,se calaminer
calfeutrer,se calfeutrer
calmer,se calmer
calter,se calter
camer,se camer
cambrer,se cambrer
camoufler,se camoufler
camper,se camper
cannibaliser,se cannibaliser
cantonner,se cantonner
caparaçonner,se caparaçonner
capitonner,se capitonner
captiver,se captiver
carier,se carier
caractériser,se caractériser
caramboler,se caramboler
caraméliser,se caraméliser
carapater,se carapater
caresser,se caresser
carnifier,se carnifier
carrer,se carrer
caser,se caser
casser,se casser
castagner,se castagner
caver,se caver
cavaler,se cavaler
chamailler,se chamailler
changer,se changer
charger,se charger
charcuter,se charcuter
châtier,se châtier
châtaigner,se châtaigner
chauffer,se chauffer
chausser,se chausser
chercher,se chercher
chevaucher,se chevaucher
chicaner,se chicaner
chicorer,se chicorer
chicorner,se chicorner
chiffonner,se chiffonner
chiffrer,se chiffrer
choquer,se choquer
cicatriser,se cicatriser
cimenter,se cimenter
cingler,se cingler
civiliser,se civiliser
claquer,se claquer
claquemurer,se claquemurer
clarifier,se clarifier
classer,se classer
claustrer,se claustrer
cliver,se cliver
clochardiser,se clochardiser
cloîtrer,se cloîtrer
coaguler,se coaguler
coaliser,se coaliser
cocaliser,se cocaliser
cogner,se cogner
coiffer,se coiffer
coincer,se coincer
coller,se coller
colleter,se colleter
collecter,se collecter
colorer,se colorer
coltiner,se coltiner
combiner,se combiner
commander,se commander
commencer,se commencer
communiquer,se communiquer
comparer,se comparer
compenser,se compenser
compléter,se compléter
complexer,se complexer
complexifier,se complexifier
compliquer,se compliquer
comporter,se comporter
composer,se composer
compter,se compter
concentrer,se concentrer
concerter,se concerter
concilier,se concilier
concréter,se concréter
concrétiser,se concrétiser
condenser,se condenser
confier,se confier
confectionner,se confectionner
confédérer,se confédérer
