Группа,Прямая форма,Возвратная форма
I,blouser,se blouser
I,bonifier,se bonifier
I,borner,se borner
I,botter,se botter
I,bouger,se bouger
I,boucher,se boucher
I,bouchonner,se bouchonner
I,boucler,se boucler
I,bouder,se bouder
I,bouffer,se bouffer
I,bourrer,se bourrer
I,boursouffler,se boursouffler
I,boursoufler,se boursoufler
I,bousculer,se bousculer
I,boutonner,se boutonner
I,boyauter,se boyauter
I,brailler,se brailler
I,brancher,se brancher
I,braquer,se braquer
I,brasser,se brasser
I,brésiller,se brésiller
I,briser,se briser
I,bronzer,se bronzer
I,brosser,se brosser
I,brouiller,se brouiller
I,brûler,se brûler
I,bureaucratiser,se bureaucratiser
I,buter,se buter
I,cabrer,se cabrer
I,cacher,se cacher
I,cailler,se cailler
I,caler,se caler
I,caleter,se caleter
I,calaminer,se calaminer
I,calfeutrer,se calfeutrer
I,calmer,se calmer
I,calter,se calter
I,camer,se camer
I,cambrer,se cambrer
I,camoufler,se camoufler
I,camper,se camper
I,cannibaliser,se cannibaliser
I,cantonner,se cantonner
I,caparaçonner,se caparaçonner
I,capitonner,se capitonner
I,captiver,se captiver
I,carier,se carier
I,caractériser,se caractériser
I,caramboler,se caramboler
I,caraméliser,se caraméliser
I,carapater,se carapater
I,caresser,se caresser
I,carnifier,se carnifier
I,carrer,se carrer
I,caser,se caser
I,casser,se casser
I,castagner,se castagner
I,caver,se caver
I,cavaler,se cavaler
I,chamailler,se chamailler
I,changer,se changer
I,charger,se charger
I,charcuter,se charcuter
I,châtier,se châtier
I,châtaigner,se châtaigner
I,chauffer,se chauffer
I,chausser,se chausser
I,chercher,se chercher
I,chevaucher,se chevaucher
I,chicaner,se chicaner
I,chicorer,se chicorer
I,chicorner,se chicorner
I,chiffonner,se chiffonner
I,chiffrer,se chiffrer
I,choquer,se choquer
I,cicatriser,se cicatriser
I,cimenter,se cimenter
I,cingler,se cingler
I,civiliser,se civiliser
I,claquer,se claquer
I,claquemurer,se claquemurer
I,clarifier,se clarifier
I,classer,se classer
I,claustrer,se claustrer
I,cliver,se cliver
I,clochardiser,se clochardiser
I,cloîtrer,se cloîtrer
I,coaguler,se coaguler
I,coaliser,se coaliser
I,cocaliser,se cocaliser
I,cogner,se cogner
I,coiffer,se coiffer
I,coincer,se coincer
I,coller,se coller
I,colleter,se colleter
I,collecter,se collecter
I,colorer,se colorer
I,coltiner,se coltiner
I,combiner,se combiner
I,commander,se commander
I,commencer,se commencer
I,communiquer,se communiquer
I,comparer,se comparer
I,compenser,se compenser
I,compléter,se compléter
I,complexer,se complexer
I,complexifier,se complexifier
I,compliquer,se compliquer
I,comporter,se comporter
I,composer,se composer
I,compter,se compter
I,concentrer,se concentrer
I,concerter,se concerter
I,concilier,se concilier
I,concréter,se concréter
I,concrétiser,se concrétiser
I,condenser,se condenser
I,confier,se confier
I,confectionner,se confectionner
I,confédérer,se confédérer
I,confesser,se confesser
I,confiner,se confiner
I,confirmer,se confirmer
I,conformer,se conformer
I,conforter,se conforter
I,congeler,se congeler
I,congestionner,se congestionner
I,conglomérer,se conglomérer
I,congratuler,se congratuler
I,conjuguer,se conjuguer
I,conjurer,se conjurer
I,consacrer,se consacrer
I,conserver,se conserver
I,considérer,se considérer
I,consoler,se consoler
I,consolider,se consolider
I,consommer,se consommer
I,constituer,se constituer
I,consulter,se consulter
I,consumer,se consumer
I,contempler,se contempler
I,contenter,se contenter
I,continuer,se continuer
I,contorsionner,se contorsionner
I,contracter,se contracter
I,contrarier,se contrarier
I,en contrebalancer,s'en contrebalancer
I,contreficher,se contreficher
I,contrôler,se contrôler
I,convulser,se convulser
I,cornancher,se cornancher
I,corriger,se corriger
I,corser,se corser
I,costumer,se costumer
I,cotiser,se cotiser
I,côtoyer,se côtoyer
I,cotonner,se cotonner
I,coucher,se coucher
I,couler,se couler
I,couper,se couper
I,courber,se courber
I,couronner,se couronner
I,courroucer,se courroucer
I,créer,se créer
I,crever,se crever
I,cramponner,se cramponner
I,craqueler,se craqueler
I,crasher,se crasher
I,cravater,se cravater
I,créoliser,se créoliser
I,crêper,se crêper
I,creuser,se creuser
I,crevasser,se crevasser
I,criquer,se criquer
I,crisper,se crisper
I,cristalliser,se cristalliser
I,croiser,se croiser
I,crotter,se crotter
I,croûtonner,se croûtonner
I,cuirasser,se cuirasser
I,cuiter,se cuiter
I,culotter,se culotter
I,cultiver,se cultiver
I,curer,se curer
I,damner,se damner
I,dandiner,se dandiner
I,darder,se darder
I,déambuler,se déambuler
I,déballonner,se déballonner
I,débander,se débander
I,débarbouiller,se débarbouiller
I,débarrasser,se débarrasser
I,débaucher,se débaucher
I,débecqueter,se débecqueter
I,débequeter,se débequeter
I,débiner,se débiner
I,déboîter,se déboîter
I,débonder,se débonder
I,déborder,se déborder
I,débotter,se débotter
I,débouder,se débouder
I,déboutonner,se déboutonner
I,débraguetter,se débraguetter
I,débrailler,se débrailler
I,débrancher,se débrancher
I,débrouiller,se débrouiller
I,décalcifier,se décalcifier
I,décanter,se décanter
I,décarcasser,se décarcasser
I,décarêmer,se décarêmer
I,décaver,se décaver
I,décentrer,se décentrer
I,décentraliser,se décentraliser
I,déchaîner,se déchaîner
I,décharger,se décharger
I,déchausser,se déchausser
I,déchirer,se déchirer
I,déchristianiser,se déchristianiser
I,décider,se décider
I,déclarer,se déclarer
I,déclencher,se déclencher
I,décliner,se décliner
I,décoiffer,se décoiffer
I,décoller,se décoller
I,décolleter,se décolleter
I,décolorer,se décolorer
I,décommander,se décommander
I,décomposer,se décomposer
I,déconcentrer,se déconcentrer
I,déconcubiner,se déconcubiner
I,déconsidérer,se déconsidérer
I,décontenancer,se décontenancer
I,décontracter,se décontracter
I,décorder,se décorder
I,découper,se découper
I,décourager,se décourager
I,décrapouiller,se décrapouiller
I,décrasser,se décrasser
I,décréditer,se décréditer
I,décrisper,se décrisper
I,décrocher,se décrocher
I,déculotter,se déculotter
I,dédommager,se dédommager
I,dédouaner,se dédouaner
I,dédoubler,se dédoubler
I,défier,se défier
I,défâcher,se défâcher
I,défatiguer,se défatiguer
I,défausser,se défausser
I,défenestrer,se défenestrer
I,défigurer,se défigurer
I,défiler,se défiler
I,défoncer,se défoncer
I,déformer,se déformer
