,flamboyer,,,écraser,ressortir
,flâner,,,écrire,révéler
,flûter,,,effacer,revouloir
,foirer,,,effectuer,rouspéter
,fonctionner,,,effondrer,ruisseler
,fouir,,,effrayer,saillir
,fraîchir,,,égarer,sécher
,frémir,,,égayer,siéger
,fureter,,,égoutter,succéder
,fuser,,,égrainer,suggérer
,gaspiller,,,égrener,tolérer
,geindre,,,élaborer,transférer
,gésir,,,élancer,vénérer
,gîter,,,élargir,voleter
,glander,,,élever,vouloir
,se gourer,,,éloigner,zézayer
,grasseyer,,,emballer,
,graver,,,embarquer,
,grêler,,,embarrasser,
,grogner,,,embaucher,
,habler,,,embellir,
,haleter,,,embêter,
,hennir,,,embraser,
,hésiter,,,embrasser,
,huir,,,émouvoir,
,s'immiscer,,,empêcher,
,incomber,,,emplir,
,influer,,,employer,
,insister,,,emporter,
,interférer,,,empreindre,
,intervenir,,,énerver,
,irriter,,,énoncer,
,issir,,,épaissir,
,jaillir,,,épandre,
,japper,,,épanouir,
,jaser,,,épargner,
,jeûner,,,épeler,
,jouir,,,éprouver,
,koter,,,épuiser,
,se lamenter,,,équiper,
,languir,,,essayer,
,louvoyer,,,essouffler,
,luire,,,essuyer,
,lutter,,,estimer,
,marcher,,,établir,
,se marrer,,,étaler,
,médire,,,étayer,
,se méfier,,,éteindre,
,mentir,,,étendre,
,se méprendre,,,étirer,
,messeoir,,,étoffer,
,miauler,,,étonner,
,migrer,,,étouffer,
,mincir,,,étourdir,
,moisir,,,étreindre,
,se morfondre,,,étudier,
,mourir,,,éveiller,
,mouver,,,exagérer,
,muser,,,examiner,
,naître,,,exciter,
,naviguer,,,exclure,
,neiger,,,excuser,
,nuire,,,exécuter,
,obéir,,,exercer,
,obtempérer,,,expliquer,
,occire,,,exposer,
,œuvrer,,,exprimer,
,officier,,,extraire,
,opter,,,habiller,
,osciller,,,habituer,
,pagayer,,,honorer,
,pager,,,humilier,
,paraître,,,identifier,
,participer,,,ignorer,
,parvenir,,,illuminer,
,pâter,,,illustrer,
,patienter,,,imaginer,
,pâtir,,,impatienter,
,pauser,,,implanter,
,pédaler,,,imposer,
,périr,,,imprégner,
,persévérer,,,imprimer,
,persister,,,incliner,
,plaire,,,informer,
,pleuvoir,,,initier,
,se poiler,,,inquiéter,
,poindre,,,inscrire,
,poter,,,insérer,
,pouvoir,,,insinuer,
,prévaloir,,,inspirer,
,procéder,,,installer,
,profiter,,,instruire,
,progresser,,,intégrer,
,provenir,,,intensifier,
,pulluler,,,interdire,
,rager,,,intéresser,
,raire,,,interpréter,
,râler,,,interroger,
,rallier,,,interrompre,
,rassir,,,introduire,
,réagir,,,inventer,
,réapparaître,,,inverser,
,rebondir,,,investiguer,
,reculer,,,investir,
,réer,,,inviter,
,référer,,,irriter,
,se réfugier,,,isoler,
,régner,,,obliger,
,remédier,,,obscurcir,
,renaître,,,observer,
,renchérir,,,obtenir,
,rentrer,,,occuper,
,reparaître,,,octroyer,
,reparler,,,offenser,
,se repentir,,,offrir,
,repleuvoir,,,opérer,
,résider,,,opposer,
,résister,,,ordonner,
,résonner,,,organiser,
,resplendir,,,orienter,
,ressembler,,,ôter,
,rester,,,oublier,
,résulter,,,ouvrir,
,retentir,,,unir,
,retomber,,,user,
,rêvasser,,,enchaîner,
,revenir,,,enchanter,
,rigoler,,,endormir,
,rire,,,enfermer,
,ronfler,,,enfiler,
,ronronner,,,enflammer,
,rouspéter,,,enfler,
,ruer,,,enfoncer,
,rugir,,,enfouir,
,ruisseler,,,engager,
,sangloter,,,engloutir,
,sembler,,,engueuler,
,seoir,,,enivrer,
,sévir,,,enlacer,
,siéger,,,enlever,
,skier,,,ennuyer,
,sommeiller,,,enrayer,
,songer,,,enrhumer,
,se soucier,,,enrichir,
,souper,,,ensevelir,
,soupirer,,,entendre,
,sourdre,,,enterrer,
,sourire,,,enthousiasmer,
,souscrire,,,entourer,
,se souvenir,,,entraîner,
,subsister,,,entretenir,
,subvenir,,,entrevoir,
,succéder,,,entrouvrir,
,succomber,,,envoyer,
,suffire,,,baigner,
,se suicider,,,baisser,
,surfer,,,balader,
,surgir,,,balancer,
,sursauter,,,bander,
,survenir,,,barrer,
,survivre,,,baser,
,taire,,,battre,
,se tapir,,,bercer,
,tarder,,,blanchir,
,tonner,,,blesser,
,toquer,,,bloquer,
,tournoyer,,,bonifier,
,tousser,,,boucher,
,transparaître,,,bouffer,
,trembler,,,bouger,
,tressaillir,,,bourrer,
,tricher,,,bousculer,
,trotter,,,brancher,
,urger,,,branler,
,uriner,,,briser,
,vagir,,,bronzer,
,vaguer,,,brosser,
,vaquer,,,brûler,
,vaser,,,brunir,
,vêler,,,cacher,
,venir,,,caler,
,venter,,,calmer,
,voguer,,,caractériser,
,voleter,,,caser,
,voyager,,,casser,
,,,,caver,
,,,,changer,
,,,,charger,
,,,,chauffer,
,,,,chausser,
,,,,chercher,
,,,,chevaucher,
,,,,circonscrire,
,,,,claquer,
,,,,classer,
,,,,cogner,
,,,,coiffer,
,,,,coincer,
,,,,collecter,
,,,,coller,
,,,,colorer,
,,,,combiner,
,,,,commander,
,,,,commencer,
,,,,commettre,
,,,,communiquer,
,,,,comparer,
,,,,complaire,
,,,,compliquer,
,,,,comporter,
,,,,composer,
,,,,comprendre,
,,,,compromettre,
,,,,compter,
,,,,concentrer,
,,,,concilier,
,,,,conduire,
,,,,confesser,
,,,,confier,
,,,,confire,
,,,,confirmer,
,,,,confondre,
,,,,conformer,
,,,,congeler,
,,,,conjuguer,
,,,,conjurer,
,,,,connaître,
,,,,consacrer,
,,,,conserver,
,,,,consoler,
,,,,constituer,
,,,,consulter,
,,,,consumer,
,,,,contenir,
,,,,contenter,
,,,,continuer,
,,,,contraindre,
,,,,contredire,
,,,,contrôler,
,,,,convaincre,
,,,,convertir,
,,,,correspondre,
,,,,corriger,
,,,,corrompre,
,,,,cotiser,
,,,,coucher,
,,,,couler,
,,,,couper,
,,,,couvrir,
,,,,cracher,
,,,,creuser,
,,,,crever,
,,,,croire,
,,,,croiser,
,,,,cultiver,
,,,,curer,
,,,,damner,
,,,,débarrasser,
,,,,débattre,
,,,,déborder,
,,,,débrouiller,
,,,,décharger,
,,,,déchirer,
,,,,décider,
,,,,déclarer,
,,,,déclencher,
,,,,décliner,
,,,,décoller,
,,,,découper,
,,,,décourager,
,,,,découvrir,
,,,,décrocher,
,,,,défaire,
,,,,défendre,
,,,,défier,
,,,,défiler,
,,,,défoncer,
,,,,dégager,
,,,,dégourdir,
,,,,dégoûter,
,,,,délier,
,,,,demander,
,,,,déménager,
,,,,démentir,
,,,,démettre,
,,,,démunir,
,,,,départir,
,,,,dépasser,
,,,,dépêcher,
,,,,dépenser,
,,,,déplacer,
,,,,déplaire,
,,,,déplier,
,,,,déployer,
,,,,déposer,
,,,,déranger,
,,,,dérouler,
,,,,désespérer,
,,,,déshabiller,
,,,,désoler,
,,,,dessaisir,
,,,,dessiner,
,,,,destiner,
,,,,détacher,
,,,,détendre,
,,,,détériorer,
,,,,déterminer,
,,,,détruire,
,,,,développer,
,,,,dévêtir,
,,,,deviner,
,,,,dévoiler,
,,,,devoir,
,,,,dévorer,
,,,,dévouer,
,,,,dévoyer,
,,,,différencier,
,,,,diffuser,
,,,,digérer,
,,,,diluer,
,,,,diminuer,
,,,,dire,
,,,,diriger,
,,,,discuter,
,,,,disjoindre,
,,,,dispenser,
,,,,disperser,
,,,,disposer,
,,,,disputer,
,,,,dissiper,
,,,,dissoudre,
,,,,distinguer,
,,,,distraire,
,,,,divertir,
,,,,diviser,
,,,,divulguer,
,,,,dominer,
,,,,donner,
,,,,doper,
,,,,dorer,
,,,,dorloter,
,,,,doter,
,,,,doubler,
,,,,doucher,
,,,,douter,
,,,,draper,
,,,,dresser,
,,,,duper,
,,,,durcir,
,,,,fâcher,
,,,,faire,
,,,,familiariser,
,,,,faner,
,,,,farcir,
,,,,fatiguer,
,,,,fêler,
,,,,féliciter,
,,,,fendre,
,,,,fermer,
,,,,festoyer,
,,,,fiancer,
,,,,ficher,
,,,,figer,
,,,,figurer,
,,,,filer,
,,,,fixer,
,,,,flatter,
,,,,fléchir,
,,,,fleurir,
,,,,fonder,
,,,,fondre,
,,,,forcer,
,,,,forger,
,,,,formater,
,,,,former,
,,,,fouiller,
,,,,fournir,
,,,,fourvoyer,
,,,,foutre,
,,,,frapper,
,,,,frayer,
,,,,froisser,
,,,,frôler,
,,,,frotter,
,,,,gagner,
,,,,garder,
,,,,garer,
,,,,garnir,
,,,,gâter,
,,,,geler,
,,,,gêner,
,,,,glacer,
,,,,glisser,
,,,,gonfler,
,,,,grandir,
,,,,gratter,
,,,,graver,
,,,,guérir,
,,,,guider,
,,,,hâter,
,,,,hausser,
,,,,heurter,
,,,,jeter,
,,,,joindre,
,,,,jouer,
,,,,juger,
,,,,jurer,
,,,,justifier,
,,,,laisser,
,,,,lancer,
,,,,languir,
,,,,lasser,
,,,,laver,
,,,,lécher,
,,,,leurrer,
,,,,lever,
,,,,libérer,
,,,,lier,
,,,,lire,
,,,,livrer,
,,,,loger,
,,,,louer,
,,,,lover,
,,,,luxer,
,,,,maintenir,
,,,,maîtriser,
,,,,manier,
,,,,manifester,
,,,,manquer,
,,,,maquiller,
,,,,marier,
,,,,marquer,
,,,,masser,
,,,,mélanger,
,,,,mêler,
,,,,ménager,
,,,,mentir,
,,,,mesurer,
,,,,mettre,
,,,,mijoter,
,,,,mirer,
,,,,modeler,
,,,,modérer,
,,,,modifier,
,,,,monter,
,,,,montrer,
,,,,moquer,
,,,,mordre,
,,,,moucher,
,,,,mouiller,
,,,,mourir,
,,,,mouver,
,,,,mouvoir,
,,,,muer,
,,,,multiplier,
,,,,munir,
,,,,murer,
,,,,négliger,
,,,,négocier,
,,,,noircir,
,,,,nominer,
,,,,nouer,
,,,,nourrir,
,,,,noyer,
,,,,pager,
,,,,pardonner,
,,,,parer,
,,,,parler,
,,,,partager,
,,,,passer,
,,,,passionner,
,,,,peigner,
,,,,peindre,
,,,,peiner,
,,,,pencher,
,,,,pendre,
,,,,pénétrer,
,,,,perdre,
,,,,permettre,
,,,,persuader,
,,,,piquer,
,,,,placer,
,,,,plaindre,
,,,,plaire,
,,,,planter,
,,,,plier,
,,,,plonger,
,,,,pointer,
,,,,porter,
,,,,poser,
,,,,posséder,
,,,,pourrir,
,,,,poursuivre,
,,,,pourvoir,
,,,,pousser,
,,,,pouvoir,
,,,,pratiquer,
,,,,précipiter,
,,,,préciser,
,,,,prendre,
,,,,prénommer,
,,,,préoccuper,
,,,,préparer,
,,,,prescrire,
,,,,présenter,
,,,,presser,
,,,,prêter,
,,,,prévaloir,
,,,,priver,
,,,,procurer,
,,,,produire,
,,,,prolonger,
,,,,promener,
,,,,promettre,
,,,,prononcer,
,,,,proposer,
,,,,qualifier,
,,,,rabattre,
,,,,raccourcir,
,,,,raccrocher,
,,,,racheter,
,,,,raconter,
,,,,rafraîchir,
,,,,raidir,
,,,,railler,
,,,,raisonner,
,,,,rajeunir,
,,,,ralentir,
,,,,rallier,
,,,,ramasser,
,,,,ramener,
,,,,ramollir,
,,,,ranger,
,,,,rapatrier,
,,,,rapetisser,
,,,,rappeler,
,,,,rapporter,
,,,,rapprocher,
,,,,raser,
,,,,rassasier,
,,,,rassembler,
,,,,rasseoir,
,,,,rassurer,
,,,,rattacher,
,,,,rattraper,
,,,,rayer,
,,,,réaliser,
,,,,recevoir,
,,,,réchauffer,
,,,,réclamer,
,,,,recommander,
,,,,récompenser,
,,,,réconcilier,
,,,,réconforter,
,,,,reconnaître,
,,,,recontacter,
,,,,recouvrir,
,,,,recruter,
,,,,recueillir,
,,,,reculer,
,,,,redire,
,,,,réduire,
,,,,refaire,
,,,,référer,
,,,,refermer,
,,,,réfléchir,
,,,,refléter,
,,,,refroidir,
,,,,refuser,
,,,,régaler,
,,,,regarder,
,,,,regrouper,
,,,,réinscrire,
,,,,réitérer,
,,,,rejeter,
,,,,rejoindre,
,,,,réjouir,
,,,,relâcher,
,,,,relayer,
,,,,relever,
,,,,relire,
,,,,remarquer,
,,,,remémorer,
,,,,remettre,
,,,,remonter,
,,,,remplir,
,,,,remuer,
,,,,rencontrer,
,,,,rendormir,
,,,,rendre,
,,,,renforcer,
,,,,renouveler,
,,,,renseigner,
,,,,renverser,
,,,,renvoyer,
,,,,repaître,
,,,,répandre,
,,,,repasser,
,,,,repérer,
,,,,replier,
,,,,répondre,
,,,,reporter,
,,,,reposer,
,,,,repousser,
,,,,reprendre,
,,,,représenter,
,,,,reprocher,
,,,,reproduire,
,,,,réserver,
,,,,résoudre,
,,,,respecter,
,,,,ressaisir,
,,,,ressembler,
,,,,ressentir,
,,,,resserrer,
,,,,resservir,
,,,,restaurer,
,,,,restreindre,
,,,,résumer,
,,,,rétablir,
,,,,retenir,
,,,,retirer,
,,,,retourner,
,,,,rétrécir,
,,,,retrouver,
,,,,réunir,
,,,,réveiller,
,,,,révéler,
,,,,revenir,
,,,,revoir,
,,,,rincer,
,,,,rire,
,,,,risquer,
,,,,rompre,
,,,,ronger,
,,,,rôtir,
,,,,rouler,
,,,,rouvrir,
,,,,ruer,
,,,,sacrifier,
,,,,saigner,
,,,,saisir,
,,,,salir,
,,,,saluer,
,,,,saouler,
,,,,saper,
,,,,satisfaire,
,,,,sauver,
,,,,savoir,
,,,,savonner,
,,,,scinder,
,,,,sécher,
,,,,secouer,
,,,,secourir,
,,,,seller,
,,,,semer,
,,,,sentir,
,,,,seoir,
,,,,séparer,
,,,,serrer,
,,,,servir,
,,,,sevrer,
,,,,signaler,
,,,,signer,
,,,,simplifier,
,,,,situer,
,,,,soigner,
,,,,sortir,
,,,,souder,
,,,,souffrir,
,,,,soulager,
,,,,soûler,
,,,,soulever,
,,,,soumettre,
,,,,sourire,
,,,,soutenir,
,,,,substituer,
,,,,succéder,
,,,,sucer,
,,,,suffire,
,,,,suivre,
,,,,supprimer,
,,,,surprendre,
,,,,surveiller,
,,,,survivre,
,,,,suspendre,
,,,,sustenter,
,,,,tailler,
,,,,taire,
,,,,taper,
,,,,taquiner,
,,,,tarir,
,,,,tasser,
,,,,tâter,
,,,,teindre,
,,,,teinter,
,,,,tendre,
,,,,tenir,
,,,,terminer,
,,,,ternir,
,,,,tirer,
,,,,toquer,
,,,,tordre,
,,,,toucher,
,,,,tourner,
,,,,tracasser,
,,,,traduire,
,,,,trahir,
,,,,traîner,
,,,,traiter,
,,,,tramer,
,,,,transformer,
,,,,transmettre,
,,,,transporter,
,,,,travailler,
,,,,tremper,
,,,,tromper,
,,,,trotter,
,,,,troubler,
,,,,trouer,
,,,,trouver,
,,,,tuer,
,,,,tutoyer,
,,,,vaincre,
,,,,valoir,
,,,,vanter,
,,,,vendre,
,,,,venger,
,,,,vérifier,
,,,,verrouiller,
,,,,verser,
,,,,vêtir,
,,,,vexer,
,,,,vider,
,,,,vieillir,
,,,,voiler,
,,,,voir,
,,,,vouer,
,,,,vouloir,
,,,,voûter,
,,,,vouvoyer,
